,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,exp_length,quantile
4389,090847b1-95b9-4773-86a5-50e64467ea67,Activities of daily living to MR child can be taught by,Self instruction,Cognitive therapy,Contingency management,Cognitive remediation,2,single,"Self -Instruction is used in substance abuse where the person keeps on instructing oneself for not taking the substance,Cognitive Behaviour therapy is based on correcting the faulty cognitive distoions and faulty ideas and belief ,,All needing normal IQ. Token economy is a component of Contingency management, wherein the Consequence is contingent upon the action done in aicular manner.",Pathology,All India exam,388,1
806,df205186-2420-4471-9b4d-bc73a069f7fd,Proto-Oncogene associated with Familial Medullary thyroid carcinoma is,KRAS,BRAF,RET,KIT,2,single,"Proto-OncogeneAssociated tumorKRASColon, lung, and pancreatic tumorsBRAFMelanomas, leukemias, colon carcinoma, othersRETMultiple endocrine neoplasia 2A and B, Familial medullary thyroid carcinomasKITGastrointestinal stromal tumors, seminomas, leukemiasRef: Robbins and Cotran Pathologic Basis of Disease; 9th edition; Chapter 7; Neoplasia; Page no: 184; Table no: 7-5",Pathology,General pathology,367,1
670,98f0374b-a364-470e-a283-c6fa2665d6a7,"A 59-year-old man has had increasing dyspnea on exertion for the past year. His dyspnea is worse in the upright position and diminishes when he is recumbent. On physical examination, he has clubbing of the fingers. Exercise induces a decrease in his PO2 that improves when he stops and lies down. Which of the following liver abnormalities is he most likely to have?",Biliary obstruction,Chronic inflammation,Cirrhosis,Metastases,2,single,"Hepatopulmonary syndrome (portopulmonary hypertension) is described. The cause is obscure, but the result is pulmonary arterial vasoconstriction and ventilation-perfusion (V/Q) mismatches that lead to hypoxemia. The remaining choices are conditions that do not cause portal hypertension. Chronic inflammation and steatosis may be seen with cirrhosis, but by themselves do not account for portopulmonary hypertension. Metastases tend to be focal, leaving residual functioning hepatic parenchyma. Biliary obstruction leads to jaundice.",Pathology,Liver & Biliary Tract,533,1
6072,df32ae40-aff5-4e93-9dfa-937dbbbafc82,Which of the following families of glycoproteins plays the most impoant role in regulating the migration and differentiation of leukocytes and connective tissue cells during wound healing in a 34-year-old woman who has a benign nevus removed from her back under local anesthesia ?,Cadherins,Fibrillins,Integrins,Laminins,2,single,"The locomotion of leukocytes is powered by membrane extensions called lamellipodia. Slower moving cells, such as fibroblasts, extend fingerlike membrane protrusions called filopodia. The leading edge of the cell membrane adheres to the extracellular matrix through transmembrane adhesion receptors termed integrins -Cadherins (choice A) are cell-cell adhesion molecules. -Fibrillins (choice B) are structural molecules that interact with elastic fibrils. -Laminins (choice D) are basement membrane glycoproteins. Diagnosis: Wound healing",Pathology,Wound Healing,537,1
1391,1c9b9918-b91c-4f45-911f-87971af938f3,Most common benign tumour of liver is-,Papilloma,Hepatic adenoma,Amoeboma,Hemangioma,3,single,"Hemangiomas are the most common benign tumour of the liver.
These hemangiomas are of a cavernous type.
The hemangiomas should not be mistaken for metastatic tumours and should not be blindly biopsied because there is a great risk of bleeding.

Remember

Most common hepatic neoplasms → Metastasis.
Most common primary malignant tumor of liver → hepatocellular carcinoma (Hepatoblastoma).
Most common benign neoplasm of liver → Hemangioma.",Pathology,,438,1
623,0e6a007b-3609-4343-9732-a407c7d89cf2,Which of the following is not associated with actions of siuins?,Inhibit metabolic activity,Reduce apoptosis,Increased insulin sensitivity,Reduced by calorie restriction,3,single,"Siuins They are a family of NAD-dependent protein deacetylases. There are at least 7 types They have non-redundant functions designed to adapt bodily functions to various environmental stresses, including Food deprivation and DNA damage. Functions:- These include proteins that inhibit metabolic activity Reduce apoptosis Stimulate protein folding Inhibit the harmful effects of oxygen free radicals. Siuins also increase insulin sensitivity and glucose metabolism, and may be targets for the treatment of diabetes.",Pathology,Miscellaneous,515,1
5750,2aa721dd-9ad3-4ff0-8fda-0e82696ea200,Boys are more likely to be affected by which genetic disorders ?,AD,AR,X linked dominant,X linked recessive,3,single,"Ans. is 'd' i.e., X linked recessive X-linked disorders Except for a few conditions, all X-linked disorders are X-linked recessive. As male has only one X-chromosome, the male with affected gene on X-chromosome will always manifest the disease. On the other hand, female has 2 X-chromosomes, heterozyogous female will be carrier because of expression of normal allel on the other X-chromosome. So a boy has more probability to manifest X linked recessive as compared to girls",Pathology,,475,1
2397,8f3b7f5f-66e6-4ffa-9cf0-a136173f6f93,Autosomal recessive polycystic kidney disease is characterised by the altered expression of:,Polycystin,Nephrocystin,Uromodulin,Fibrocystin,3,single,"Fibrocystin (polyductin) gene mutation is seen in autosomal recessive polycystic kidney disease. Note: Polycystin mutation is associated with autosomal dominant polycystic kidney disease. Nephrocystin is related to nephronophthisis. Uromodulin mutation is seen in medullary cystic kidney disease. Ref: Harrisons principles of internal medicine, 18th edition, Page: 2356.",Pathology,,370,1
3881,6ef7ed5c-fcea-4464-908f-d7cb4eb08c60,"In myocardial reperfusion injury, the maximum effect is caused due to which of the following?",Neutrophil,Monocytes,Eosinophils,Free radicals,3,single,"Restoration of blood flow to ischemic tissues can promote recovery of cells if they are reversibly injured. However, under ceain circumstances, when blood flow is restored to cells that have been ischemic but have not died, injury is paradoxically exacerbated and proceeds at an accelerated pace. This process is called ischemia-reperfusion injury. It is due to sudden influx of free radicals and Ca+2",Pathology,Myocardial Infarction,401,1
4694,02fdf856-effe-4078-86ec-ac5f6917211a,During which phase of the cell cycle the cellular content of DNA Is doubled,Mitotic phase,G1 phase,G2 phase,S phase,3,single,"S-phase (synthesis phase) is the pa of the cell cycle in which DNA is replicated, occurring between G1 phase and G2 phase. Precise and accurate DNA replication is necessary to prevent genetic abnormalities which often lead to cell death or disease. Due to the impoance, the regulatory pathways that govern this event in eukaryotes are highly conserved.",Pathology,General pathology,352,1
224,cf81b5d7-9215-4a09-8f60-51df75121ace,Linitis plastica is a feature of -a) Hiatus herniab) Chronic gastric ulcerc) Lymphoma of stomachd) Diffuse carcinoma stomach,ab,bc,bd,cd,3,single,"Linitis plastica

Involvement of a broad region of the gastric wall or entire stomach by diffuse stomach cancer cause linitis plastica.
It is also known as Brinton's disease.
The appearance of stomach is like leather bottle.
The other cause of linitis plastica are :
Lye ingestion    
Sarcoidosis             
Metastatic infiltration of stomach
Non -hodgkin lymphoma of stomach
Syphilis",Pathology,,386,1
6103,ba0b8499-1109-47ad-bb83-87ae48cb29fb,"In a case of Plasmodium falciparum malaria, the peripheral blood smear does not demonstrate trophozoites and schizonts. The reason for this is:",Apoptosis of red cells because of hemozoin pigments,Lysis of red cells with malarial parasite,Infested cells are trapped in the spleen,Infested red blood cells stick to the capillaries,3,single,-Plasmodium falciparum is associated with infected red cells expressing PfEMP (Plasmodium falciparum erythrocyte membrane protein) leading to their attachment to the endothelial cells. -This leads to sequestration of infected red cells in the capillaries. -That's the reason for the non-appearance of trophozoites and schizonts in the peripheral blood smear.,Pathology,Hematopoeisis: Basic concepts,358,1
3664,38e27c65-1fc4-43c8-a605-d956ae26e3e0,Which of the following vascular changes is not observed during acute inflammation?,Vasodilation,Stasis of blood,Increased vascular permeability,Decreased hydrostatic pressure,3,single,"In acute inflammation there is an increase in hydrostatic pressure due to increased blood from vasodilation. It is also associated with reduced osmotic pressure because of protein leakage secondary to increased permeability. Normal hydrostatic pressure is 3mmHg at the aerial end & 1mmHg at the venous end. Normal colloid osmotic pressure is 25mmHg. In acute inflammation hydrostatic pressure may increase to 50mm of Hg while osmotic pressure may reduce to 20mm of Hg. Ref: Robbins Pathologic Basis of Disease, 6th Edition, Pages 53-4",Pathology,,534,1
4476,2e0cb902-1eb5-44de-8165-105a9aa0fb62,A 15 year old boy presents was brought to OPD with a history of pain and swelling in the right thigh. Biopsy of the mass demonstrates Osteosarcoma. His mother was diagnosed with breast cancer 1 year ago and his maternal grandmother died of the breast cancer 10 years ago. The child has 3 younger siblings. Siblings are at an increased risk of developing which of the following cancer ?,Wilms,Neuroblastoma,Hepatoblastoma,Glioma,3,single,"This is a likely the case of Li Fraumeni syndrome. Li Fraumeni syndrome Cancer predisposition syndrome before the age of 45 years Associated with high risks for a diverse spectrum of childhood- and adult-onset malignancies due to germline p53 gene mutation as per Chompret criteria. 5 cancer types are : Adrenocoical carcinomas, Breast cancer, Central nervous system tumors, Osteosarcomas, Soft-tissue sarcomas. Out of the given options central nervous system tumor is glioma",Pathology,Genetic Basics Of Carcinogenesis,475,1
642,df207110-7a41-44a3-9cfc-2be7b81f9e36,Direct Coombs test is positive for:,IgA,IgE,IgM,IgG,3,single,"Autoimmune hemolytic anaemia in which the red cell injury is brought about by auto-antibodies reacting with antigens present on red cell membrane. 
Antiglobulin test (direct Coombs’ test) is employed to detect the antibody on red cell surface.

Key Point:
DAT (Direct Antiglobulin Test) testing typically involves the use of a polyspecific reagent consisting of IgG and complement C3.
Mohan H. Textbook of pathology. Jaypee Brothers Medical Publishers; 2015. Edition 7. Page 60",Pathology,,477,1
780,3524e265-5c87-43c8-8dff-6b4574301a0b,The HLA class III region genes are important elements in,Transplant rejection phenomenon,Antigen presentation and elimination,Immune surveillance,Governing susceptibility to autoimmune diseases,3,single,"*HLA class III region contains genes for early complement components C2 and C4 of classical pathway.
*Deficiency of these early components of the classical pathway viz C1, C2 and C4 is associated with autoimmune diseases like SLE and other collagen vascular diseases.
• These genes are thus, important in regulating susceptibility to autoimmune disease
• Class III genes do not participate in MHC restriction or graft rejection components.",Pathology,,439,1
2727,681c6a1d-8f4d-4981-9266-6df92fa7c4ec,Unusual extensibility of the tongue is a characteristic feature of:,Epidermolysis bullosa,Syphilis,Darier-White disease,Ehlers-Danlos syndrome,3,single,"EHLERS -DANLOS syndrome is a connective tissue disorder characterized by hyper elasticity of skin, hyper extensibility of joints (Rubber man) and fragility of skin and oral mucosa)
Hyper mobility of TMJ, resulting in ""repeated dislocations"" of Jaw; lack of normal scalloping of the dentinoenameL junction, passage of many dentinal tubules into the enamel, with a tendency to form multiple pulp stones are oral manifestations of EHLERS -DANLOS syndrome",Pathology,,451,1
4200,eedab40a-443c-47f9-b153-0872686106a9,"In Alibe bazin syndrome, origin of lymphoma is from:",Eosinophil,B lymphocyte,Monocyte,T lymphocyte,3,single,"Albe Bazin Syndrome (Mycosis Fungoides):- Neoplastic Proliferation of mature CD4 T cell Infiltrates the skin producing localized skin rash, plaque, and nodule. Aggregates of neoplastic cells in epidemic are called Pautrier's micro-abscesses (Epidermatropism) Cell can spread in blood producing Sezary syndrome:- Characteristic lymphocyte with cerebriform nuclei( Sezary cells) Also k/a Cutaneous T cell lymphoma Rx- Topical steroid and exposure to UV rays Vorinostat (Histone deacetylase inhibitor)",Pathology,JIPMER 2018,498,1
4456,41a1e0ab-4c8d-4548-9d3e-d44992217763,A 25 year old women presents with recurrent abdominal pain and anaemia. Peripheral blood smear shows basophilic stippling of the RBCs. What is the most likely diagnosis?,Coeliac disease,Hookworm disease,Sickle cell disease,Lead poisoning,3,single,Basophilic stippling a.k.a Punctate basophilia These inclusions are precipitated ribosomal RNA. Stippling is observed in cases of: Hemoglobinopathies Dys-erythropoietic states like: Lead poisoning megaloblastic anemias thalassemias sideroblastic anemias Alcoholism Pyriinidine-5- nucleotidase deficiency RBC inclusions: Inclusion Content Howell- Jolly body DNA Basophilic stippling RNA Pappenheimer body Iron Heinz body Denatured Hb Cabot ring Mitotic spindle remnant,Pathology,Iron deficiency anemia,467,1
571,b6bcde84-2467-4a92-a83c-8cebf448b17a,A study of persons receiving emergent medical services is conducted. It is observed that 5% of persons with sudden cardiac arrest who receive cardiopulmonary resuscitation survive. Which of the following is the most likely mechanism for cardiac arrest in these survivors?,Arrhythmia,Infarction,Inflammation,Valve failure,0,single,"The most common cause of sudden cardiac arrest is ischemic heart disease. The risk of sudden death is increased with worsening atherosclerotic coronary arterial narrowing. However, the first event with an acute coronary syndrome is typically an arrhythmia, and this is why resuscitation, including defibrillation, can be successful, and survivors may have no ECG or enzyme changes to suggest myocardial infarction has occurred. Inflammation with infarction or infection takes days to develop. Sudden valvular incompetence from papillary muscle rupture, or wall rupture, may complicate an infarction 3 to 7 days following the initial event.",Pathology,C.V.S,639,2
4329,b42e2d9e-2e62-4f74-b651-ca84425ac8e9,"A 7-year-old child has had worsening performance in school for the past 4 months from decreased vision. Examination of the right eye shows diffuse punctate inflammation of the cornea and pannus extending as growth of fibrovascular tissue from conjunctiva onto the cornea. Microscopic examination of a corneal scraping shows lymphocytes, plasma cells, neutrophils, and scattered corneal epithelial cells that have cytoplasmic inclusion bodies. Which of the following infectious agents is most likely to produce these findings?",Chlamydia trachomatis,Cytomegalovirus,Herpes simplex virus,Rubella virus,0,single,"Trachoma is a major cause of blindness worldwide. The initial inflammation from infection is followed by progressive conjunctival scarring with eyelid involvement so that the eyelashes turn inward (trichiasis) to produce scarring of the conjunctiva and cornea. In children, cytomegalovirus (CMV), one of the herpesviruses, is a rare cause of ocular infection. CMV produces prominent intranuclear inclusions. Herpetic keratitis can result in ulceration and scarring; herpesviruses have intranuclear inclusions. Congenital rubella, which is now a rare disease because of immunization, produces retinopathy. Congenital infections with Treponema pallidum result in interstitial keratitis.",Pathology,Infectious Disease,684,2
3600,e07e642a-fbe2-42bb-9e6f-2016fb5c88cc,Protein deposited in familial amyloid neuropathy:,Mutated transthyretin,Normal transthyretin,Mutated β2,Normal β2,0,single,"""Transthyretin (TTR) is a normal serum protein that binds and transports thyroxine and retinol, hence the name trans-thy-retin.
A mutant form of transthyretin (and its fragments) is deposited in a group of genetically determined disorders referred to as familial amyloid polyneuropathies. Several mutations have been identified in the transthyretin protein that contributes to its deposition in tissues in the form of amyloid. Transthyretin is also deposited in the heart of aged individuals (senile systemic amyloidosis), but in such cases, the transthyretin molecule is structurally normal.
                                 Table: Classification of Amyloidosis",Pathology,,662,2
2850,50905d84-e895-4658-b5db-4541b0f10fe1,"A 48-year-old woman complains she has had weakness, fatigue, and easy bruisability for 2 months. She had worked as a technician in a nuclear energy plant for 15 years and was involved in an accident during which she was exposed to considerable radiation. Physical examination reveals an enlarged liver and spleen. What disease should you suspect as a likely cause of her condition?",Chronic myelogenous leukemia,Hairy cell leukemia,Metastatic carcinoma of the breast,Metastatic carcinoma of the stomach,0,single,"The evidence that whole-body radiation can lead to cancer is incontrovertible and comes from animal experiments and studies of the effects of occupational exposure, radiation therapy for nonneoplastic conditions, the diagnostic use of certain radio-isotopes, and the atom bomb explosions. Some survivors of the atom bomb explosions and patients subjected to spinal radiation later developed chronic myelogenous leukemia. Although the other choices may lead to hepatosplenomegaly, they are not linked to acute radiation exposure.Diagnosis: Chronic myelogenous leukemia",Pathology,Environment & Nutritional Pathology,567,2
6275,a1953f4e-e132-4bdb-962c-d60818fb79dc,Spot the diagnosis,Lead poisoning,Macrocytic anemia,Howell-Jolly bodies,Heinz bodies,0,single,"Ref: Harsh Mohan, Textbook of Pathology, 7th ed. pg. 236The image shows basophilic stippling of red blood cells. The causes are:Mnemonic: LUNATIC* Lead poisoning* Unstable hemoglobin* Nucleotidase deficiency* Anemia due to B12 deficiency* Thalassemia* Infections* CirrhosisThe closest answer Pappenheimer bodies are basophilic erythrocytic inclusions that are usually located at the I periphery of the cell. They contain iron and stain with Prussian blue. Prussian blue is the stain that is used to identify that these Pappenheimer bodies are pure iron deposits, and not heme as in Heinz bodies.",Pathology,Blood,595,2
2111,476014f9-4a44-47ab-897d-199534ac5ed5,Wilson's disease is?,AR,AD,XR,XD,0,single,"Ans. is 'a' i.e., AR o Wilson's disease is an autosomal recessive disorder.Autosomal recessive disorders1) Metabolic - Cystic fibrosis, Phenyl ketonuria, Galactosemia, Homocystinuria, Lysosomal storage dis, al- antitrypsin deficiency, Wilson disease, Hemochromatosis, Glycogen storage disorders2) Hematological - Sickle cell anemia, Thalassemias3) Endocrine - Congenital adrenal hyperplasia (some variants), Albinism4) Skeletal - EDS (some variants) Alkaptonuria5) Nervous -Friedreich ataxia, Spinal muscular atrophy, Neurogenic muscular atrophies, Ataxia Telegiectasia.",Pathology,Mendelian Disorders: Single-Gene Defects,570,2
2861,0c15b858-6e95-42fe-9287-8790dc7d2d1b,Stains used in amyloidosis-,Congo red,Thioflavin,Reticulin,Grams Iodine,0,single,"The histologic diagnosis of amyloid is based almost entirely on its staining characteristics. The most commonly used staining technique uses the dye Congo red, which under ordinary light impas a pink or red color to amyloid deposits. Under polarized light the Congo red-stained amyloid shows so- called apple-green birefringence . This reaction is shared by all forms of amyloid and is caused by the crossed b-pleated configuration of amyloid fibrils. Confirmation can be obtained by electron microscopy, which reveals amorphous nonoriented thin fibrils. AA, AL, and ATTR types of amyloid also can be distinguished from one another by specific immunohistochemical staining. Robbins 9 th edition page no. 156",Pathology,General pathology,707,2
2435,64887394-c7cc-4cd3-a21f-4a5d5444b646,The prognosis of rapidly proliferating glomerulonephritis (Crescentic GN) depends upon which of the following factor?,Number of crescents,Size of crescents,Shape of crescents,Cellularity of crescents,0,single,"The prognosis of Crescentic glomerulonephritis can be roughly related to the number of crescents, patients with crescents fewer than 80% of the glomeruli have a slightly better prognosis than those with higher percentage of crescents. Other factors affecting prognosis are: Clinical Pathology Age at onset of disease Extent of crescentic involvement(% normal glomeruli) Infectious/drug etiology Nature of crescent(cellular, fibrocellular, fibrous) Renal function at discovery(oliguria, dialysis dependence) Extent of glomerulosclerosis Serology(ANCA, anti GBM, dual antibody) Chronic tubulointerstitial lesions Genetics (HLA) Disruption of Bowman's capsule) Ref: Treatment of Primary Glomerulonephritis edited by Claudio Ponticelli. Basic Pathology By Stanley Leonard Robbins page 470.",Pathology,,785,2
4832,1f9be562-f41d-47bc-82b4-0052c2e5e6ce,Which of the following head and neck tumor has worst prognosis?,Adenoid cystic carcinoma,Acinic cell carcinoma,Cystadenolymphoma,Mucoepidermoid carcinoma,0,single,"Ans. is 'a' i.e., Adenoid cystic carcinoma ""Adenoid cystic carcinoma has been described as one of the most biologically aggressive and destructive malignant neoplasms, presenting a tendency for local recurrance and late distant metastasis throughout the course of disease."" o The adenoid cystic carcinoma, adenocarcinoma, squamous cell carcinoma and undifferentiated carcinoma are all agggressive malignant tumors that carry a poor prognosis regardless of treatment. o The acinic cell carcinoma and the mucoepidermoid carcinoma, although undoubtedly malignant tumors with a potential for local invasion and metastatic spread, are frequently very low grade histologically and do not require the radical treatment needed for more aggressive tumors. o Cysadenolymphoma (Wahin's tumor) is a benign tumor.",Pathology,,800,2
2459,498439c7-f55f-4630-a8a5-7daea10e33e6,Podocytes are seen in -,Bowman's capsule,Proximal convoluted tubule,Distal convoluted tubule,Collecting tubule of the kidney,0,single,"The Bowman's capsule (capsula glomeruli/glomerular capsule) is a cup-like sac at the beginning of tubular component of a nephron.
A glomerulus is enclosed in the sac (Bowman's capsule).
Fluids from blood in the glomerulus are collected in Bowman's capsule (i.e. glomerular filtrate) and further processed along the nephron to form urine.

Outside the Bowman's capsule there are two poles.

Vascular pole → The side with afferent and efferent arterioles.
Urinary pole → The side with proximal convoluted tubule.

Inside the Bowman's capsule, the layers are as follows, from inside to outside -

A thin layer of fenestrated endothelium
Glomerular basement membrane                
Visceral epithelium (Podocytes)
Parietal epithelium
These are the part of the glomerulus",Pathology,,767,2
1500,a18bda22-7600-44ca-9f2c-ef994bb08d26,Which is the most common defectively produced antibody in multiple myeloma?,Ig G,Ig M,Ig A,Ig D,0,single,"Ref: Robbin's Pathology, 9th ed. pg. 598-99* The over production of light chains of IgG is the most common abnormality in multiple myeloma. In Waldenstrom cryoglobulinemia, IgM is overproduced.* Most common presentation of multiple myeloma is anemia >bone pain.* Least common presentation of multiple myeloma is hyperviscosity* Investigation of choice for multiple myeloma is bone marrow biopsy* Screening test for multiple myeloma is serum electrophoresis showing M spike* Most common cause of death in multiple myeloma is infections* Most common cause of kidney damage in multiple myeloma is hypercalcemia.",Pathology,Hemodynamics,608,2
2928,d7665dee-6de5-409e-9bad-cc1db2d2cb09,Flow cytometry is done to know -,Rapid cell shrinkage,Blood flow to brain,Net O2 supply to tissues,Amount of O2 bound to hemoglobin,0,single,"Ans. is 'a' i.e., Rapid cell shrinkage o As there is no inflammation in apoptosis - there is no leukocyte migration.Apoptotic cells or apoptotic bodies (end products) are phagocytosed by macrophages,o Endonuclease causes double stranded breaks of nuclear DNA. The nucleus itself may break up producing two or more fragments.o Activation of caspases is central to the pathogenesis of apoptosis. :-Following are the method to identify the apoptopic cellsStaining of chromatin condension by haematoxylin, Feulgen and acridine orange.Flow cytometry to visualise rapid cell shrinkage.DNA changes in situ technique or by electrophoresis,Annexin V as a marker of apoptotic cell.",Pathology,Hemodynamics,671,2
1449,263078c5-fa39-472c-82ff-33b86d494d27,The aganglionic segment is encountered in which part of the colon in case of Hirschsprung disease -,Distal to dilated segment,In Whole colon,Proximal to dilated segment,In the dilated segment,0,single,"Congenital aganglionic megacolon (Hirschsprung disease) 

Hirschsprung disease is a congenital disorder characterized by aganglionosis of a portion of the intestinal tract.
An intestinal segment lacks both Meissner submucosal and Auerbach myenteric plexus. This leads to func­tional obstruction and intestinal dilation Proximal to the affected segment.
Histological findings are:-


The absence of ganglion cells and ganglia in the muscle wall and submucosa of the affected segment.
Thickening and hypertrophy of nerve trunk.


The rectum is always affected with the involvement of more proximal colon to the variable extent most cases involve the rectum and sigmoid only.
Proximal to the aganglionic segment, the colon undergoes progressive dilation and hypertrophy.
With time, the proximal innervated colon may become massively distended megacolon.",Pathology,,850,2
1762,1bc1ca67-6e9b-45bd-8896-c9dbc00ac6df,Pathology in achlasia cardia is?,Degeneration of nerves,Muscular atrophy,Hypertrophy of nerves,Hypertrophy of muscles,0,single,"Ans. is 'a' i.e., Degeneration of nerves Pathogenesis of achlasia cardia* It is due to dysfunction of inhibitory neurons containing nitric oxide and vasoactive intestinal polypeptide in the distal intestine. The cholinergic innervation of the LES is intact or affected only in the advanced stage. There is neurogenic degeneration either idiopathic or due to infection.* The degenerative changes are either intrinsic (degeneration of ganglion cells of Aurebach's myentric plexus) or extrinsic (extra esophageal vagus nerve or the dorsal motor nucleus of vagus).* Asa result of the abnormality, LES fails to relax and there is progressive dilatation of esophagus above the level of LES.",Pathology,G.I.T.,684,2
4082,0a2ec3f3-816e-497e-b055-d5dd67992ddd,Which of the following shows crescent shaped deposits under light microscope?,RPGN,Acute GN,Membranous GN,Membranoproliferative GN,0,single,"Rapidly progressive glomerulonephritis (RPGN) is also referred to as crescentic glomerulonephritis. Under light microscope, crescents of proliferating parietal cells in combination with invading monocytes and fibrin are seen in Bowman space. Three types: Type I RPGN: Linear pattern of immunofluorescence are seen due to causative IgG binding directly to glomerular basement membrane antigens. Type II RPGN: Immune complex mediated. Type III RPGN: Type III RPGN is referred to as pauci-immune (i.e., no immune complexes). ANCA is positive (e.g., Wegener granulomatosis) in up to 80% of cases. Ref: Wyatt C., Butterwoh IV J.F., Moos P.J., Mackey D.C., Brown T.G. (2008). Chapter 16. Pathology of the Kidney and Bladder. In C. Wyatt, J.F. Butterwoh IV, P.J. Moos, D.C. Mackey, T.G. Brown (Eds), Pathology: The Big Picture.",Pathology,,820,2
3207,9e671a6e-7905-44d8-b81b-5411b8b87da6,Broncho-pneumonia due to measles occurs due to,Sinusitis,Immuno modulation,Bronchial obstruction,Aspiration,1,single,"Bronchopneumonia in MeaslesDirect invasion of T lymphocytes and increased levels of suppressive cytokines, such as IL-4, may play a role in the temporary depression of cellular immunity that accompanies and transiently follows measles.The major infected cell in the blood is the monocyte.Infection of the entire respiratory tract accounts for the characteristic cough and coryza of measles and for the less frequent manifestations of croup, bronchiolitis, and pneumonia.Generalized damage to respiratory tract, with resultant loss of cilia, predisposes to secondary bacterial infection such as pneumonia and otitis media.(Refer: Harrison's Principles of Internal Medicine, 18th edition, pg no: 16000-1603, 1486)",Pathology,All India exam,711,2
4252,21ba3ea9-f924-488e-9580-59307401bea4,Malignant transformation to melanoma is common in:March 2009,Dermal nevus,Junctional nevus,Congenital nevus,Lentigo nevus,1,single,"Ans. B: Junctional nevusIntradermal nevus: Benign; <1cm diameter, single, well-defined, circular, elevated, brown sometimes with black spotsa and nonulcerated.Junctional nevus: Premalignant: source for most malignant melanomas; looks like intradermal nevus but larger, often ulcerated, irregular border and heterogeneous coloration. Suspect melanoma if junctional nevus is getting darker or larger or bleeding or itching.Spitz nevus/spindle and epithetliod cellnevus is a red-pink nodule; often confused with hemangioma clinicallyBlue nevus is black-blue nodule; often confused with melanoma clinically",Pathology,,602,2
3903,78a2a24f-7329-41c3-9dbd-16af80032d07,Most common cause of death in primary am loidosis is?,Respiratory failure,Cardiac failure,Renal failure,Septicemia,1,single,"Cardiac failure REF: Harrison's Internal Medicine 17th edition chapter 324. Amyloidosis The kidneys are the most frequently affected organ (80%). Renal amyloidosis is usually manifested by proteinuria, which is often in the nephrotic range and associated with significant hypoalbuminemia and edema or anasarca; rarely, tubular rather than glomerular deposition of amyloid can produce azotemia without significant proteinuria. Cardiac symptoms are the second most common presentation (40%), but cardiac dysfunction is associated with death in 75% of patients.",Pathology,,558,2
5794,c02f59ce-4dce-4f2b-94c3-27e35a308ed5,Which of the following can recognize dead material?,NET,Inflammasome,Necrosis,Toll-like receptor,1,single,"Ans. B. InflammasomeNOD-like receptors (NLRs) and the inflammasomeLocationCytosolic receptorsRecognizeNecrotic cells, ion disturbances (e.g., loss of k), urate crystal, and some microbial productsMechanism of actionActivates Caspase-1- activates IL-1- recruits leukocytes and induces feverRole in diseases* Periodic fever syndromes (autoinflammatory syndromes): Due to gain of function mutations* Obesity associated type 2 diabetes and atherosclerosis: Due to gain of function mutations* Inflammation in gout: Due to recognition of urate crystals by a class of NLRs",Pathology,Cellular Pathology,565,2
2176,fad1c4c0-e7a4-4a3c-8dfa-116512a774c8,The translocation seen in follicular lymphoma is,"T(11,14)","T(14,18)","T(9,22)","T(8,14)",1,single,"Follicular lymphoma is a non-Hodgkin's lymphoma. When you havefollicular lymphoma, the sick blood cells can travel to many pas of your body, such as your organs, bone marrow, and lymph nodes (pea-sized glands in your neck, groin, and under your arms that are pa of your immune system Follicular lymphoma is a malignant counterpa to normal germinal B cells, and the majority of patients with this disorder show chromosomaltranslocation t(14;18)(q32;q21), which creates a derivative of chromosome 14 on which the BCL-2 gene is juxtaposed to immunoglobulin heavy-chain gene (IgH) sequence. Refer robbins 9/e",Pathology,Haematology,604,2
1813,4fce516b-26ce-4de0-ae9c-79269a54fd50,Most common benign tumor of oesophagus is:,Lipoma,Leiomyoma,Hamartoma,Hemangioma,1,single,"Ref: Robbins Pathologic Basis of Disease, 8th edition,Pages 772-4Explanation:BENIGN TUMORS OF ESOPHAGUSUsually mesenchymal in origin..Arise within the esophageal wall.Types of benign tumors:o Leiomyomas - Most common.o Fibromaso Lipomaso Hemangiomaso Neurofibromaso Lymphangiomas.Some benign tumors presents as mucosal polyps.These are usually composed of:o Fibrous and vascular tissue Fibrovascular polyps.o Adipose tissue - Pedunculated lipomas.Squamous papillomas are sessile lesions with a centra] core of connective tissue and a hyperplastic papilliform squamous mucosa.Papillomas are associated with HPV infection.Mass of inflamed granulation tissue, growing either as an inflammatory polyp or an infiltrative mass may resemble a malignant lesion (Inflammatory pseudotumors).",Pathology,Esophagus,781,2
4163,934cda01-5558-4479-861b-7c4feecb8f6f,"Most common presentation of gastrinoma/ZES:March 2013 (f, h)",Abdominal pain,Duodenal ulcer,Weight loss,Nausea,1,single,"Ans. B i.e. Duodenal ulcerGastrinomaIt is a tumor in the pancreas or duodenum that secretes excess of gastrin leading to ulceration in the duodenum, stomach and the small intestine.There is hypersecretion of the HC1 in the duodenum which causes the ulcers.HC1 also causes hyperperistalsis and inhibits the activity of lipase causing severe diarrhoea.It is most commonly found in the duodenum (50-70%) and less commonly in the pancreas (20-40%).Those occurring in the pancreas have a greater potential for malignancy.Most gastrinomas are found in the gastrinoma triangle; which is bound by:- Junction of cystic and common bile ducts, Junction of the second and third pas of the duodenum, and the Junction of the neck and body of the pancreas.",Pathology,,741,2
